timestamp,gas_level,temperature,pressure,smoke_level
2026-01-01 00:00:00,56.35,41.62,170.4,3.18
2026-01-01 00:01:00,109.45,35.68,192.65,8.92
2026-01-01 00:02:00,148.51,48.05,181.68,2.79
2026-01-01 00:03:00,102.87,75.26,252.28,3.19
2026-01-01 00:04:00,198.25,81.28,203.54,7.17
2026-01-01 00:05:00,54.33,32.71,176.7,1.69
2026-01-01 00:06:00,85.66,68.46,190.38,5.9
2026-01-01 00:07:00,18.62,39.81,148.26,4.45
2026-01-01 00:08:00,80.88,68.05,236.23,5.09
2026-01-01 00:09:00,87.19,63.46,213.79,7.76
2026-01-01 00:10:00,142.83,61.67,128.57,5.88
2026-01-01 00:11:00,159.18,68.83,143.25,4.72
2026-01-01 00:12:00,101.45,55.09,236.53,5.45
2026-01-01 00:13:00,171.63,44.4,184.01,2.93
2026-01-01 00:14:00,55.1,79.24,143.27,2.25
2026-01-01 00:15:00,53.64,54.59,144.09,4.59
2026-01-01 00:16:00,109.4,50.29,172.92,4.23
2026-01-01 00:17:00,126.38,101.74,202.22,4.61
2026-01-01 00:18:00,101.33,81.01,211.45,6.41
2026-01-01 00:19:00,103.22,65.13,222.86,-0.6
2026-01-01 00:20:00,116.98,75.02,156.33,7.21
2026-01-01 00:21:00,65.18,50.78,228.9,0.02
2026-01-01 00:22:00,113.53,52.02,271.33,6.44
2026-01-01 00:23:00,153.85,67.15,232.53,4.66
2026-01-01 00:24:00,98.07,41.91,262.54,3.47
2026-01-01 00:25:00,46.46,65.05,163.29,3.9
2026-01-01 00:26:00,102.84,46.29,171.86,5.68
2026-01-01 00:27:00,185.09,49.93,218.14,6.82
2026-01-01 00:28:00,96.46,78.93,207.84,8.3
2026-01-01 00:29:00,85.46,63.23,162.3,1.95
2026-01-01 00:30:00,80.5,39.36,228.96,3.57
2026-01-01 00:31:00,79.78,60.68,146.61,4.32
2026-01-01 00:32:00,19.78,59.21,238.47,5.41
2026-01-01 00:33:00,101.75,81.41,253.36,5.82
2026-01-01 00:34:00,191.34,53.57,149.72,3.27
2026-01-01 00:35:00,118.11,75.82,270.52,5.61
2026-01-01 00:36:00,62.0,75.0,177.88,-2.03
2026-01-01 00:37:00,169.5,61.34,247.85,0.89
2026-01-01 00:38:00,124.15,46.12,269.51,3.41
2026-01-01 00:39:00,55.05,66.94,199.61,5.98
2026-01-01 00:40:00,145.73,88.5,180.42,9.29
2026-01-01 00:41:00,78.66,46.9,207.54,6.06
2026-01-01 00:42:00,65.21,59.14,272.71,7.86
2026-01-01 00:43:00,59.08,48.12,242.69,4.08
2026-01-01 00:44:00,59.67,61.98,196.39,7.68
2026-01-01 00:45:00,8.29,72.68,157.35,1.78
2026-01-01 00:46:00,102.9,38.87,124.96,4.08
2026-01-01 00:47:00,97.46,35.8,314.98,4.49
2026-01-01 00:48:00,128.62,41.27,161.15,3.62
2026-01-01 00:49:00,120.11,57.58,209.89,8.29
2026-01-01 00:50:00,107.47,75.86,179.46,-1.19
2026-01-01 00:51:00,159.27,71.05,146.9,4.91
2026-01-01 00:52:00,130.39,45.65,197.0,6.62
2026-01-01 00:53:00,149.02,79.54,162.25,12.38
2026-01-01 00:54:00,80.6,54.14,206.15,3.1
2026-01-01 00:55:00,118.85,63.36,173.33,3.04
2026-01-01 00:56:00,70.65,36.14,165.35,0.45
2026-01-01 00:57:00,74.69,46.47,205.06,2.32
2026-01-01 00:58:00,84.39,63.33,204.75,7.79
2026-01-01 00:59:00,219.13,54.52,230.43,8.85
2026-01-01 01:00:00,216.72,56.92,226.15,1.47
2026-01-01 01:01:00,148.46,49.06,209.95,9.16
2026-01-01 01:02:00,98.27,86.32,215.22,2.83
2026-01-01 01:03:00,59.87,70.11,229.68,5.54
2026-01-01 01:04:00,81.15,26.08,247.5,5.52
2026-01-01 01:05:00,31.72,62.02,263.84,3.02
2026-01-01 01:06:00,49.43,51.54,139.58,8.31
2026-01-01 01:07:00,213.67,24.08,220.69,3.22
2026-01-01 01:08:00,83.61,56.13,283.81,4.16
2026-01-01 01:09:00,125.39,62.49,192.38,6.39
2026-01-01 01:10:00,45.41,53.01,287.65,0.62
2026-01-01 01:11:00,137.8,60.87,215.42,8.34
2026-01-01 01:12:00,22.44,78.25,212.35,2.4
2026-01-01 01:13:00,61.76,67.66,158.62,5.39
2026-01-01 01:14:00,67.65,53.65,245.46,0.43
2026-01-01 01:15:00,82.38,51.83,265.58,3.52
2026-01-01 01:16:00,51.67,66.63,131.35,-0.8
2026-01-01 01:17:00,129.69,38.68,162.6,3.0
2026-01-01 01:18:00,180.18,61.95,154.88,4.04
2026-01-01 01:19:00,-15.56,60.32,193.3,9.9
2026-01-01 01:20:00,129.38,75.35,183.25,7.06
2026-01-01 01:21:00,150.04,53.8,267.13,0.32
2026-01-01 01:22:00,75.62,69.31,221.89,5.32
2026-01-01 01:23:00,27.2,54.08,177.92,4.84
2026-01-01 01:24:00,52.35,58.92,199.25,9.34
2026-01-01 01:25:00,65.9,47.21,169.46,2.4
2026-01-01 01:26:00,170.64,47.54,178.13,3.73
2026-01-01 01:27:00,131.89,77.01,179.3,2.55
2026-01-01 01:28:00,177.17,56.1,170.75,6.01
2026-01-01 01:29:00,25.79,82.69,290.25,2.58
2026-01-01 01:30:00,205.97,71.96,181.7,10.03
2026-01-01 01:31:00,71.06,72.91,235.9,4.66
2026-01-01 01:32:00,135.81,59.07,200.11,-4.49
2026-01-01 01:33:00,97.74,69.77,190.78,10.35
2026-01-01 01:34:00,104.51,65.99,164.62,2.54
2026-01-01 01:35:00,38.6,54.62,124.24,9.02
2026-01-01 01:36:00,141.85,65.77,195.83,2.8
2026-01-01 01:37:00,27.96,55.54,263.74,2.38
2026-01-01 01:38:00,126.85,40.5,132.09,8.58
2026-01-01 01:39:00,51.86,92.46,154.69,6.61
2026-01-01 01:40:00,-25.48,53.23,209.94,5.65
2026-01-01 01:41:00,111.17,49.47,262.83,2.29
2026-01-01 01:42:00,63.08,67.07,198.73,0.69
2026-01-01 01:43:00,68.63,47.27,208.08,2.55
2026-01-01 01:44:00,113.85,82.15,182.0,3.6
2026-01-01 01:45:00,187.9,81.74,243.14,6.86
2026-01-01 01:46:00,89.94,59.25,212.59,8.02
2026-01-01 01:47:00,57.75,99.5,282.68,1.51
2026-01-01 01:48:00,48.6,74.06,154.96,7.64
2026-01-01 01:49:00,66.38,51.38,227.18,4.79
2026-01-01 01:50:00,141.75,32.93,254.73,2.42
2026-01-01 01:51:00,101.04,50.2,266.46,7.47
2026-01-01 01:52:00,-5.32,70.71,209.9,1.16
2026-01-01 01:53:00,57.32,59.96,157.78,8.61
